timestamp,open,high,low,close,volume
2020-07-22,176.4300,182.9500,175.3900,179.7900,29790308
2020-07-21,178.4300,182.6500,176.7500,178.6300,40733560
2020-07-20,175.1300,176.5700,171.6200,174.4200,25267053
2020-07-17,178.4100,181.1000,175.5500,175.6600,26164500
2020-07-16,184.3200,184.5900,177.3400,178.7000,34993600
2020-07-15,185.5400,189.5300,181.2500,187.9400,47947900
2020-07-14,177.0000,181.3000,173.4100,179.9600,38579500
2020-07-13,180.2000,183.2500,174.3600,175.6500,42964200
2020-07-10,171.7000,179.3300,169.7500,178.4400,40911200
2020-07-09,179.6700,180.7500,172.8100,173.2800,33435000
2020-07-08,179.0500,181.5800,175.5100,180.0800,38055200
2020-07-07,185.0700,185.0700,178.6500,178.8800,37021800
2020-07-06,184.5200,189.3600,181.6000,187.9100,49350000
2020-07-02,185.5800,187.7900,180.4300,180.8100,41721500
2020-07-01,185.8800,190.6100,180.0400,180.3200,48890100
2020-06-30,188.0200,188.4900,180.3800,183.3000,65221300
2020-06-29,181.0000,194.5000,176.2700,194.4900,78116300
2020-06-26,173.4200,173.8500,167.6000,170.0100,50580953
2020-06-25,169.8700,177.5000,169.5900,174.8800,57227052
2020-06-24,183.6100,185.2000,176.0700,176.6900,56321094
2020-06-23,189.3000,190.1200,183.5500,187.8800,50133899
2020-06-22,184.5600,188.7000,181.9000,188.5200,53741901
2020-06-19,197.9000,197.9600,184.5710,187.0200,67092230
2020-06-18,188.2400,198.0345,187.2000,192.2900,60509096
2020-06-17,194.5200,196.4300,191.2500,192.5400,52876559
2020-06-16,207.1500,208.3000,192.6000,197.7700,76070821
2020-06-15,177.1800,193.2300,175.8900,190.9400,78313114
2020-06-12,187.1500,191.3000,176.2600,189.5100,89383845
2020-06-11,179.3500,192.1800,166.0100,170.0000,102405291
2020-06-10,211.1700,213.0300,197.4000,203.4100,89521700
2020-06-09,222.1400,227.0000,213.0800,216.7400,66492269
2020-06-08,222.9400,234.2000,218.9300,230.5000,80282907
2020-06-05,205.0000,218.7900,197.3600,205.4300,99582873
2020-06-04,181.2800,188.6000,177.4000,184.3000,67030206
2020-06-03,157.1000,173.7800,155.4900,173.1600,66051955
2020-06-02,154.0000,155.8500,151.8101,153.3100,24707813
2020-06-01,145.4500,153.5500,144.5500,151.3900,27124553
2020-05-29,145.3000,152.0000,142.9400,145.8500,33845454
2020-05-28,156.1000,156.7000,149.0500,149.8200,34727185
2020-05-27,149.1400,149.6500,141.2400,149.5200,32412854
2020-05-26,145.2100,145.9100,142.6100,144.7300,30290023
2020-05-22,141.0100,141.0800,135.7766,137.5300,21072749
2020-05-21,137.0000,144.2390,136.1508,139.0000,48178884
2020-05-20,133.2700,135.4500,131.3101,133.3200,21774773
2020-05-19,137.0000,137.0400,130.2800,130.4400,32288142
2020-05-18,126.1800,136.2000,125.7998,135.4400,43780493
2020-05-15,118.3300,121.8899,117.7800,120.0000,26737739
2020-05-14,118.9800,122.6100,113.8900,122.5200,37456776
2020-05-13,125.0000,125.0700,119.3300,121.5000,25936158
2020-05-12,129.7200,133.1200,125.1989,125.2200,22503045
2020-05-11,130.9200,131.0000,127.9500,128.9100,20015699
2020-05-08,132.5700,135.5500,131.5600,133.4400,22689783
2020-05-07,122.8100,130.7100,122.3600,128.6500,29466006
2020-05-06,125.8000,126.8591,121.3700,121.8600,29535705
2020-05-05,132.8800,133.8000,125.0000,125.4000,30554080
2020-05-04,127.1150,131.5000,124.3500,131.4600,30690804
2020-05-01,143.2300,143.7100,132.8400,133.3700,36543743
2020-04-30,137.6700,144.6500,132.3100,141.0200,37696852
2020-04-29,138.0800,147.1800,135.2500,139.0000,60310583
2020-04-28,133.8800,137.2000,127.7400,131.3000,37733163
2020-04-27,129.9700,131.2000,123.8300,128.6800,34476971
2020-04-24,137.0000,137.5700,128.3300,128.9800,35871543
2020-04-23,136.5000,142.3800,136.0500,137.7400,25799954
2020-04-22,140.4200,140.8199,134.5202,134.9700,22714797
2020-04-21,139.0100,141.8962,135.4500,136.3300,26962155
2020-04-20,147.2100,151.6299,142.5000,143.6100,34863988
2020-04-17,149.4100,154.0000,145.0000,154.0000,52277217
